"Month","Espoo Domestic nights","Espoo Foreign nights","Espoo Average room price","Espoo Average price per night","Espoo Nights spent"
"1999M02",16213,5184,68.87,47.09,21397
"1999M03",19545,9811,67.16,46.33,29356
"1999M04",15295,6034,65.11,45.67,21329
"1999M05",19950,8717,69.43,47.43,28667
"1999M06",21755,12987,68.06,46.71,34742
"1999M07",17850,11032,56.08,30.42,28882
"1999M08",19703,15614,68.51,42.66,35317
"1999M09",19086,8717,68.37,49.52,27803
"1999M10",21410,7358,68.65,46.74,28768
"1999M11",19347,7803,69.14,49.69,27150
"1999M12",12522,6145,70.65,47.72,18667
"2000M01",12223,8279,69.86,47.97,20502
"2000M02",16640,6569,68.17,46.39,23209
"2000M03",20536,8122,69.66,47.36,28658
"2000M04",15844,6795,67.17,45.82,22639
"2000M05",22808,10159,70.52,48.17,32967
"2000M06",19375,13353,68.40,48.07,32728
"2000M07",18453,7808,54.83,30.49,26261
"2000M08",20646,15371,72.33,46.33,36017
"2000M09",19651,9416,64.95,45.28,29067
"2000M10",20913,8442,69.51,48.90,29355
"2000M11",18984,9451,69.23,49.98,28435
"2000M12",9310,5694,69.06,50.49,15004
"2001M01",12974,8702,72.04,48.90,21676
"2001M02",17470,6617,71.07,48.32,24087
"2001M03",17769,8581,71.48,49.00,26350
"2001M04",15652,6575,70.66,48.46,22227
"2001M05",19992,9494,74.13,50.31,29486
"2001M06",22677,11382,70.90,47.14,34059
"2001M07",19468,10264,57.03,32.08,29732
"2001M08",22210,13707,73.32,43.97,35917
"2001M09",19104,8790,73.75,51.19,27894
"2001M10",19391,8779,73.05,51.22,28170
"2001M11",16789,8216,78.09,55.15,25005
"2001M12",8726,5550,73.71,54.17,14276
"2002M01",12354,9533,85.02,59.72,21887
"2002M02",15001,6109,76.61,53.64,21110
"2002M03",15157,7513,74.41,53.44,22670
"2002M04",15337,7120,75.08,55.28,22457
"2002M05",18999,10793,76.65,50.79,29792
"2002M06",18062,12972,74.49,46.71,31034
"2002M07",19335,11004,57.90,30.67,30339
"2002M08",21183,14875,68.63,42.45,36058
"2002M09",16159,11080,78.26,55.99,27239
"2002M10",19587,8696,77.37,54.29,28283
"2002M11",16877,8919,75.59,52.66,25796
"2002M12",7917,6092,76.11,54.17,14009
"2003M01",11771,10275,79.67,55.56,22046
"2003M02",13610,7343,80.14,54.84,20953
"2003M03",15080,7508,76.76,53.93,22588
"2003M04",12694,6579,80.59,57.08,19273
"2003M05",18491,10201,77.36,52.03,28692
"2003M06",16148,11541,74.82,50.01,27689
"2003M07",16612,9047,62.67,30.11,25659
"2003M08",19752,15262,68.91,41.65,35014
"2003M09",16974,9890,78.25,56.27,26864
"2003M10",18556,7494,78.66,53.07,26050
"2003M11",16383,7795,77.06,55.54,24178
"2003M12",8762,5568,82.05,59.73,14330
"2004M01",12326,8144,82.50,56.65,20470
"2004M02",16586,6800,78.45,50.92,23386
"2004M03",14978,7545,81.42,61.15,22523
"2004M04",14535,6215,78.77,53.96,20750
"2004M05",17991,9960,79.03,53.37,27951
"2004M06",17794,13035,75.22,50.48,30829
"2004M07",20831,9287,52.59,26.21,30118
"2004M08",20488,14881,67.96,40.75,35369
"2004M09",18003,11657,80.10,56.59,29660
"2004M10",20271,8794,71.26,49.74,29065
"2004M11",17793,8965,77.54,55.11,26758
"2004M12",9371,5488,77.79,56.04,14859
"2005M01",11994,9041,82.39,56.46,21035
"2005M02",14345,6891,79.74,53.71,21236
"2005M03",15787,8185,79.19,52.19,23972
"2005M04",15949,7903,78.93,56.98,23852
"2005M05",18351,12505,79.73,54.84,30856
"2005M06",18398,14942,71.42,48.78,33340
"2005M07",21163,11507,59.26,32.53,32670
"2005M08",18858,21837,80.97,51.34,40695
"2005M09",16906,11657,76.07,55.54,28563
"2005M10",17247,9338,73.70,51.79,26585
"2005M11",16769,8615,78.09,57.96,25384
"2005M12",10167,6249,74.38,52.13,16416
"2006M01",13536,8607,76.40,53.67,22143
"2006M02",13660,8185,77.50,54.69,21845
"2006M03",15156,9855,81.29,59.47,25011
"2006M04",13286,9353,79.44,56.93,22639
"2006M05",17801,15568,75.05,52.86,33369
"2006M06",18702,17839,74.94,50.84,36541
"2006M07",22284,13176,58.82,34.29,35460
"2006M08",22318,19626,72.22,47.24,41944
"2006M09",17453,17475,84.64,62.74,34928
"2006M10",19075,14402,82.60,60.63,33477
"2006M11",16556,12932,85.32,65.16,29488
"2006M12",10370,8046,77.28,55.37,18416
"2007M01",12845,12587,85.19,64.11,25432
"2007M02",13857,8936,84.28,61.12,22793
"2007M03",16458,11898,84.10,60.43,28356
"2007M04",13698,10125,80.19,58.71,23823
"2007M05",17181,14573,80.94,60.24,31754
"2007M06",17701,18660,77.60,53.38,36361
"2007M07",20484,12161,57.99,32.00,32645
"2007M08",21661,16360,74.88,48.47,38021
"2007M09",17647,13716,81.06,59.38,31363
"2007M10",19236,14162,82.34,59.66,33398
"2007M11",16890,12601,83.04,60.08,29491
"2007M12",10274,9483,80.96,56.23,19757
"2008M01",14057,13779,86.23,61.72,27836
"2008M02",16502,9396,84.59,58.94,25898
"2008M03",14953,8944,82.00,59.47,23897
"2008M04",19051,10373,81.32,57.32,29424
"2008M05",18231,14727,85.67,58.59,32958
"2008M06",18881,15473,82.87,51.71,34354
"2008M07",22816,11411,58.66,31.24,34227
"2008M08",22973,15721,80.29,49.62,38694
"2008M09",16637,14818,87.19,61.17,31455
"2008M10",18277,12063,91.74,65.38,30340
"2008M11",16233,10516,87.81,63.45,26749
"2008M12",11193,8014,85.82,60.32,19207
"2009M01",14121,12113,84.33,56.67,26234
"2009M02",13182,7810,81.99,59.72,20992
"2009M03",15718,10218,84.93,61.51,25936
"2009M04",14027,9049,79.14,54.60,23076
"2009M05",17536,12821,91.26,63.20,30357
"2009M06",17518,13248,82.12,54.18,30766
"2009M07",20500,8944,58.13,30.06,29444
"2009M08",21348,13664,76.96,47.20,35012
"2009M09",16993,11904,82.89,61.80,28897
"2009M10",16813,11097,81.54,57.68,27910
"2009M11",14935,10725,84.31,63.28,25660
"2009M12",9836,8073,84.16,60.37,17909
"2010M01",9688,9491,79.70,54.65,19179
"2010M02",10041,6856,86.59,63.61,16897
"2010M03",12051,8904,83.56,60.68,20955
"2010M04",11650,5377,82.94,58.47,17027
"2010M05",13267,8102,83.96,60.56,21369
"2010M06",13140,11614,83.82,58.31,24754
